#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:Gene_u47_unique" spec="beast.base.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:Gene_u47_unique" spec="beast.base.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:Gene_u47_unique" lower="0.0" name="popSize" spec="beast.base.inference.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:Gene_u47_unique" spec="beast.base.evolution.tree.TreeIntervals">
#                <tree id="Tree.t:Gene_u47_unique" spec="beast.base.evolution.tree.Tree">
#                    <taxonset id="TaxonSet.Gene_u47_unique" spec="beast.base.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="GammaShapePrior.s:Gene_u47_unique" name="distribution">
#            <parameter id="gammaShape.s:Gene_u47_unique" lower="0.1" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="KappaPrior.s:Gene_u47_unique" name="distribution">
#            <parameter id="kappa.s:Gene_u47_unique" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.14" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.15" name="S" spec="beast.base.inference.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior.t:Gene_u47_unique" name="distribution" x="@popSize.t:Gene_u47_unique">
#            <OneOnX id="OneOnX.1" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@Gene_u47_unique" id="treeLikelihood.Gene_u47_unique" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Gene_u47_unique">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Gene_u47_unique" shape="@gammaShape.s:Gene_u47_unique" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Gene_u47_unique" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Gene_u47_unique" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:Gene_u47_unique" kappa="@kappa.s:Gene_u47_unique" spec="beast.base.evolution.substitutionmodel.HKY">
#                    <frequencies data="@Gene_u47_unique" id="empiricalFreqs.s:Gene_u47_unique" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:Gene_u47_unique" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:Gene_u47_unique" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	gammaShape	kappa	popSize	CoalescentConstant	mutationRate
95000	-437.1905367796269	-467.57656466316723	30.38602788354037	-467.57656466316723	0.04187282400698012	0.13816966331186656	0.7871985820816004	6.213425854054477	0.032365174122449734	30.93005374569669	1.0
100000	-435.7935935971408	-465.3197582402806	29.526164643139783	-465.3197582402806	0.059339003164341944	0.18026757957304493	0.7389218347962654	4.225806883386286	0.03495215490262294	29.556896894756793	1.0
105000	-432.13761521752514	-469.4849349012891	37.34731968376394	-469.4849349012891	0.029566523257302073	0.09998128787750714	0.7389218347962654	2.457991445904134	0.01700143217867146	36.056452528941094	1.0
110000	-438.84326828851664	-466.470121734296	27.62685344577935	-466.470121734296	0.05233540644585431	0.18233599517889468	0.7389218347962654	5.236669188538257	0.03608827692555442	27.979331377880605	1.0
115000	-440.3089682234885	-470.0772470103683	29.768278786879833	-470.0772470103683	0.06069454841467312	0.19186795898741463	0.7389218347962654	5.236669188538257	0.03550765605180168	30.104536981946044	1.0
120000	-447.49567163349155	-470.25680248084416	22.76113084735258	-470.25680248084416	0.04707543915486932	0.20541444073781973	1.9327025426016333	4.470874654622559	0.05661526050262539	24.541251593699613	1.0
125000	-439.57300472199114	-466.81435269459456	27.241347972603428	-466.81435269459456	0.04154315787230496	0.14742801848759088	2.9323881226935566	5.050562020057426	0.034343695680206496	29.686790391920653	1.0
130000	-438.76686026612856	-468.45096483676554	29.684104570636947	-468.45096483676554	0.05066517365296014	0.16999395520137867	0.3189268196386929	5.77542547178475	0.032818263501484035	29.663693199161045	1.0
135000	-446.2839873463759	-471.5334055891438	25.249418242767902	-471.5334055891438	0.07939585179776075	0.26652849679408214	0.14250375741022156	5.77542547178475	0.05895424355997175	25.638360244709915	1.0
140000	-439.4327649035662	-472.14492137516066	32.712156471594454	-472.14492137516066	0.04506124594912918	0.14139384439962266	0.5286841634696186	3.1765039790202563	0.02752265395967406	31.953723792630765	1.0
145000	-437.44202540330485	-472.2312415593793	34.78921615607446	-472.2312415593793	0.03546366167053716	0.11793255289746421	0.5286841634696186	4.833140051383275	0.016649755243690906	34.046101755130316	1.0
150000	-434.53778840425525	-466.60421680160727	32.066428397352034	-466.60421680160727	0.03083200948985958	0.11673342833161442	0.5286841634696186	4.833140051383275	0.025194080433934736	31.737527543676073	1.0
155000	-434.915700699348	-469.7596287955401	34.843928096192094	-469.7596287955401	0.03348631615264626	0.10316089216574728	1.0605544045416702	5.35816184414652	0.027456502986733425	35.277401783510264	1.0
160000	-440.83971151183147	-469.9569585274601	29.11724701562862	-469.9569585274601	0.06337500437892099	0.20140869163298533	0.8826898658523805	5.35816184414652	0.02636791669089434	29.332401115625967	1.0
165000	-436.5409083751491	-474.2337791190902	37.69287074394107	-474.2337791190902	0.02651918859653855	0.09594789777255452	0.8826898658523805	3.956402847949792	0.017633666999950018	37.10011312229236	1.0
170000	-440.2561468779901	-466.2140906608531	25.957943782863026	-466.2140906608531	0.032336739867524014	0.1398542526225859	3.1338433219227	3.956402847949792	0.03663523070326658	28.34754000971307	1.0
175000	-434.24314252845744	-465.38899108423175	31.14584855577432	-465.38899108423175	0.03745165453521273	0.1390343442196364	1.3024761505145053	3.956402847949792	0.022227535932267756	31.204399123858153	1.0
180000	-435.12469845636633	-466.161533141248	31.036834684881693	-466.161533141248	0.04901688877803555	0.15881091448161366	0.5391317704391986	4.504014907946788	0.0246018971955142	30.599684069349287	1.0
185000	-442.7059113859068	-471.9479148380167	29.2420034521099	-471.9479148380167	0.04615902254652569	0.15700448372856296	1.2887911271081889	4.862450110407142	0.042240815818775916	30.19827210500921	1.0
