#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:Gene_u86_unique" spec="beast.base.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:Gene_u86_unique" spec="beast.base.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:Gene_u86_unique" lower="0.0" name="popSize" spec="beast.base.inference.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:Gene_u86_unique" spec="beast.base.evolution.tree.TreeIntervals">
#                <tree id="Tree.t:Gene_u86_unique" spec="beast.base.evolution.tree.Tree">
#                    <taxonset id="TaxonSet.Gene_u86_unique" spec="beast.base.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="GammaShapePrior.s:Gene_u86_unique" name="distribution">
#            <parameter id="gammaShape.s:Gene_u86_unique" lower="0.1" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="KappaPrior.s:Gene_u86_unique" name="distribution">
#            <parameter id="kappa.s:Gene_u86_unique" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.base.inference.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior.t:Gene_u86_unique" name="distribution" x="@popSize.t:Gene_u86_unique">
#            <OneOnX id="OneOnX.1" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@Gene_u86_unique" id="treeLikelihood.Gene_u86_unique" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Gene_u86_unique">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Gene_u86_unique" shape="@gammaShape.s:Gene_u86_unique" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:Gene_u86_unique" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Gene_u86_unique" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:Gene_u86_unique" kappa="@kappa.s:Gene_u86_unique" spec="beast.base.evolution.substitutionmodel.HKY">
#                    <frequencies data="@Gene_u86_unique" id="empiricalFreqs.s:Gene_u86_unique" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:Gene_u86_unique" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:Gene_u86_unique" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	kappa	gammaShape	popSize	CoalescentConstant
95000	-789.5915717302653	-791.3206127616467	1.7290410313813789	-791.3206127616467	0.5128008831053847	1.0549871416934484	6.535030294516933	0.7379334202826466	0.12744583533414117	3.672390320355894
100000	-783.1384263417531	-782.451223954567	-0.6872023871860102	-782.451223954567	0.7157453537599088	1.442312371645942	4.607691611455821	1.0020840733430825	0.3560107946061797	2.0410151910967453
105000	-782.00932372627	-784.5860185874449	2.5766948611747935	-784.5860185874449	0.540368671883291	1.0922988223345829	2.2560874407702163	1.0020840733430825	0.08224379324528001	3.0475403159520225
110000	-780.4840958035152	-783.4486239006327	2.9645280971175025	-783.4486239006327	0.48528468975618827	0.979345438136155	3.507239001705497	1.0020840733430825	0.11667553677423224	4.235945108675837
115000	-782.8843614253708	-784.5744205734436	1.6900591480727984	-784.5744205734436	0.4403502619286594	0.901815428922564	2.4846019775609407	1.6069583758763588	0.2168179313582338	3.82310030696153
120000	-782.7521101849161	-784.8404126227372	2.0883024378211377	-784.8404126227372	0.44344690543469273	0.902604038535759	2.4846019775609407	1.6069583758763588	0.18862403647173467	4.082041430254213
125000	-782.1002936742698	-781.9262294008269	-0.17406427344297093	-781.9262294008269	0.766725505626449	1.543113390536204	6.835095828076266	0.5633640950286948	0.255062954211752	2.35927598784585
130000	-787.8630431855566	-784.3610395001404	-3.5020036854163203	-784.3610395001404	0.944329530603862	1.91152210196113	6.835095828076266	0.5633640950286948	0.6916881917712115	0.028961446067501062
135000	-780.8773327611012	-783.6856418166225	2.808309055521242	-783.6856418166225	0.43226264902751815	0.8798195084173757	3.6008705703689383	1.4065162734281949	0.11814511440252165	4.527540544998492
140000	-782.6944895077329	-784.5679897686615	1.8735002609285933	-784.5679897686615	0.5123158861236048	1.0499520345534727	3.6008705703689383	1.4065162734281949	0.1015113855758069	3.440989063783336
145000	-784.4351876032711	-786.507968769271	2.072781165999913	-786.507968769271	0.44828072082394066	0.917848105875346	3.567311898340629	1.8201632767283884	0.12518713398301257	4.25253550430549
150000	-780.6927631540069	-783.8622997245018	3.169536570494834	-783.8622997245018	0.37128579643951704	0.7511749633512197	4.397783459687397	1.8201632767283884	0.07673044127914191	5.1194923336558364
155000	-789.5610796623023	-791.0518908219085	1.4908111596062392	-791.0518908219085	0.5087765559772021	1.030238154296361	4.0790384967775895	1.5902142762706495	0.17114753937701122	3.9164510132301498
160000	-783.0104549791104	-785.2168672506718	2.2064122715614856	-785.2168672506718	0.35951770622909307	0.7313676796709655	4.0790384967775895	2.681634304894036	0.10946265473849891	5.276529604401096
165000	-779.9931665507085	-781.1385691584584	1.1454026077499098	-781.1385691584584	0.4748654381911325	0.95797843137682	4.0790384967775895	2.681634304894036	0.12663282996635417	4.361228298642766
170000	-781.4424403952352	-782.5052304682837	1.0627900730485307	-782.5052304682837	0.4445236844019787	0.9049259014773776	4.0790384967775895	2.719975643515928	0.1378028098106092	4.401489054911161
175000	-789.1213391751738	-784.0145132795359	-5.106825895637955	-784.0145132795359	0.6075095301218774	1.2272377430043107	4.285977589914321	2.719975643515928	0.8077544127029685	0.06343286055757602
180000	-783.0838234926007	-781.0281547906651	-2.0556687019355984	-781.0281547906651	0.36861297043453894	0.7479420367769499	3.1233037803254233	7.397223927031732	0.07046222811539976	4.9760232288661355
185000	-784.555879461103	-781.8483071269337	-2.7075723341692752	-781.8483071269337	0.378741869706747	0.7649156123888989	2.844591095638493	7.397223927031732	0.1464214983649201	4.956547298749667
