#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:Gene_u69_unique" spec="beast.base.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:Gene_u69_unique" spec="beast.base.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:Gene_u69_unique" lower="0.0" name="popSize" spec="beast.base.inference.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:Gene_u69_unique" spec="beast.base.evolution.tree.TreeIntervals">
#                <tree id="Tree.t:Gene_u69_unique" spec="beast.base.evolution.tree.Tree">
#                    <taxonset id="TaxonSet.Gene_u69_unique" spec="beast.base.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="GammaShapePrior.s:Gene_u69_unique" name="distribution">
#            <parameter id="gammaShape.s:Gene_u69_unique" lower="0.1" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="KappaPrior.s:Gene_u69_unique" name="distribution">
#            <parameter id="kappa.s:Gene_u69_unique" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.14" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.15" name="S" spec="beast.base.inference.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior.t:Gene_u69_unique" name="distribution" x="@popSize.t:Gene_u69_unique">
#            <OneOnX id="OneOnX.1" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@Gene_u69_unique" id="treeLikelihood.Gene_u69_unique" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Gene_u69_unique">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Gene_u69_unique" shape="@gammaShape.s:Gene_u69_unique" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:Gene_u69_unique" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Gene_u69_unique" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:Gene_u69_unique" kappa="@kappa.s:Gene_u69_unique" spec="beast.base.evolution.substitutionmodel.HKY">
#                    <frequencies data="@Gene_u69_unique" id="empiricalFreqs.s:Gene_u69_unique" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:Gene_u69_unique" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:Gene_u69_unique" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	gammaShape	popSize	CoalescentConstant	kappa
190000	-1174.6301172152666	-1189.5914729920669	14.961355776800346	-1189.5914729920669	0.028179102788233917	0.05975373171266639	0.1374610611012708	0.014811371802099705	14.338057424301425	7.341923531532498
195000	-1175.6948592616934	-1192.165346379452	16.470487117758598	-1192.165346379452	0.021958918952107703	0.047864459006666124	0.1374610611012708	0.00845121378517091	15.286103588793015	7.341923531532498
200000	-1177.7466326461758	-1191.5017724894917	13.755139843315762	-1191.5017724894917	0.028270774303158663	0.06241939086926921	0.9533216486348177	0.014685358672745516	13.939157816396545	7.341923531532498
205000	-1175.3574821589066	-1190.9649797474767	15.607497588570233	-1190.9649797474767	0.025068972069256238	0.053309049184511216	0.9533216486348177	0.007215336909198312	15.080873459666527	7.341923531532498
210000	-1175.751697563502	-1193.8682441184171	18.116546554915182	-1193.8682441184171	0.01927514968632343	0.040050725306850256	0.9533216486348177	0.007279302473517038	16.59515110830018	3.599181012142972
215000	-1173.8039182783377	-1189.2932654206352	15.489347142297516	-1189.2932654206352	0.027788117173390418	0.0595846522089288	0.9533216486348177	0.011956070873375121	14.464155824395876	3.599181012142972
220000	-1175.5167564100525	-1190.045200637581	14.52844422752862	-1190.045200637581	0.023618376551078676	0.05183031066254371	2.510231327427167	0.005805317020813292	14.33769764150573	3.599181012142972
225000	-1176.3165167216841	-1190.0885255130943	13.772008791410052	-1190.0885255130943	0.025913682707502397	0.05791615891477288	0.6156863159826645	0.024215703446499023	13.114944294066273	3.599181012142972
230000	-1173.4552975763218	-1190.2761224972196	16.82082492089779	-1190.2761224972196	0.021715687901722115	0.04689643388017823	0.12151211313896822	0.0036332632023417188	13.772716093519051	3.599181012142972
235000	-1175.6183888057417	-1189.7296611425645	14.111272336822722	-1189.7296611425645	0.033371212236843896	0.07286742038919669	0.546018248827968	0.01580027767159082	13.334622531433407	4.83843460520901
240000	-1174.2815980595656	-1189.296575881454	15.014977821888401	-1189.296575881454	0.024818024449278858	0.05141893517683957	0.546018248827968	0.02002323012524665	14.16212115942775	3.796846101381624
245000	-1172.6915824264343	-1188.9225718879336	16.230989461499338	-1188.9225718879336	0.029179397709248267	0.06143457734929565	0.546018248827968	0.008745935977826004	14.689459610675907	4.2457091263940105
250000	-1172.9394557730423	-1190.236749817409	17.29729404436663	-1190.236749817409	0.02271605773857722	0.04700584699127258	0.546018248827968	0.008786102572135983	15.860977223621607	4.584717470258725
255000	-1176.5701641099436	-1190.6594633708276	14.089299260883916	-1190.6594633708276	0.0339942828306749	0.07157517244850184	1.0719381833437227	0.006247884859435535	13.39213904638523	6.707686289474347
260000	-1172.6850629847984	-1188.8616773384583	16.176614353660046	-1188.8616773384583	0.023736337630046667	0.050522221016644164	1.0719381833437227	0.006505793461553817	15.180472057769732	5.354091545063393
265000	-1176.3149196532986	-1190.680711901133	14.3657922478344	-1190.680711901133	0.0273385215006446	0.06126257675998217	1.0719381833437227	0.011990613904424838	13.981081039337102	5.354091545063393
270000	-1180.4325316040527	-1196.6617150066022	16.229183402549594	-1196.6617150066022	0.01715757692989348	0.039751885606681844	1.0719381833437227	0.009019705008044648	15.559759654285568	5.354091545063393
275000	-1174.6576035849278	-1190.2715693834502	15.613965798522438	-1190.2715693834502	0.020140238154502818	0.04372082676696944	1.0719381833437227	0.004224739073269853	14.666134307932866	7.321419600519615
280000	-1176.9151744250064	-1190.2166051820811	13.301430757074822	-1190.2166051820811	0.030828750005589954	0.06711660719096627	1.0719381833437227	0.015593331394017404	13.659485113508797	7.321419600519615
285000	-1175.2576800016052	-1189.5642981996143	14.306618198009074	-1189.5642981996143	0.024276749289455918	0.053109385014069505	1.0719381833437227	0.013124539994859963	14.49231296617623	7.321419600519615
290000	-1176.5961469169556	-1190.1347502533895	13.538603336433855	-1190.1347502533895	0.026719767271171924	0.05873961184283782	1.0719381833437227	0.016316624704979275	13.9419988533462	7.321419600519615
295000	-1177.5133229312248	-1189.949589785532	12.436266854307231	-1189.949589785532	0.025179469234646704	0.05634238835963051	1.0719381833437227	0.02827948697332861	12.764257938496518	4.826467684561396
300000	-1173.3595338879575	-1189.5039933638784	16.144459475921035	-1189.5039933638784	0.0237761736144736	0.05094145406467942	1.0719381833437227	0.007358120336734097	15.126118371310666	4.826467684561396
305000	-1174.4753329261578	-1189.4660975572915	14.990764631133715	-1189.4660975572915	0.027658667396575395	0.060173013796497574	1.0719381833437227	0.010801857419454578	14.35633711805616	4.826467684561396
310000	-1173.9291787678717	-1190.2566628526583	16.32748408478657	-1190.2566628526583	0.025487010692610668	0.05209467136826794	1.0719381833437227	0.011145047515938162	15.431074759296303	3.8483872410588513
315000	-1172.9976325254247	-1189.1550971383417	16.157464612916897	-1189.1550971383417	0.023932531176993597	0.05164898437958639	1.0719381833437227	0.008639313619944283	15.006383194691107	3.8483872410588513
320000	-1175.23103592788	-1190.7593309805122	15.528295052632313	-1190.7593309805122	0.025909982996208718	0.05541850141694115	1.0719381833437227	0.012703887123403746	14.762798516225136	3.8483872410588513
325000	-1174.6028019703774	-1190.9210047659146	16.318202795537317	-1190.9210047659146	0.02158642048284982	0.04788949096376377	1.0719381833437227	0.00764387305900301	15.044702659408294	3.8483872410588513
330000	-1178.6362319668572	-1192.3756989955461	13.739467028688939	-1192.3756989955461	0.027190205845902024	0.06247417329201546	1.5626155611659354	0.01433102630814835	13.585166709586474	3.8483872410588513
335000	-1177.2527799633135	-1191.2857507739254	14.032970810611832	-1191.2857507739254	0.03352305517746778	0.0719895142839116	1.5626155611659354	0.012679653590773861	13.756242261980361	3.8483872410588513
340000	-1178.7285203261129	-1191.3589107288387	12.6303904027259	-1191.3589107288387	0.023938787171533367	0.05104475932937577	2.565354535520211	0.016359270984363523	14.486530112456066	7.129054732322095
345000	-1177.8674599803173	-1191.2747917508855	13.407331770568039	-1191.2747917508855	0.02844688364979503	0.06035553306412083	2.565354535520211	0.012078349055373604	14.61738033889171	5.7117389961746925
